log2.YPGlu30.Ref._YPGlu30.C.1	log2.YPGlu30.Ref._YPGlu30.C.2	log2.YPGlu30.Ref._YPGlu30.C.3	log2.YPGluBPS30.Ref._YPGlu.BPS30.C.1	log2.YPGluBPS30.Ref._YPGlu.BPS30.C.2	log2.YPGluBPS30.Ref._YPGlu.BPS30.C.3	log2.YPGlu37.Ref._YPGlu37.C.1	log2.YPGlu37.Ref._YPGlu37.C.2	log2.YPGlu37.Ref._YPGlu37.C.3	log2.WT.Glu.BPS.37.Ref._WT.Glu.BPS.37.1	log2.WT.Glu.BPS.37.Ref._WT.Glu.BPS.37.2	log2.WT.Glu.Fe.30.Ref._WT.Glu.Fe.30.1	log2.WT.Glu.Fe.30.Ref._WT.Glu.Fe.30.2	log2.WT.Glu.Fe.30.Ref._WT.Glu.Fe.30.3	log2.WT.Glu.Fe.37.Ref._WT.Glu.Fe.37.Fe.1	log2.WT.Glu.Fe.37.Ref._WT.Glu.Fe.37.Fe.2	log2.WT.Glu.Fe.37.Ref._WT.Glu.Fe.37.Fe.3
CAGL0A00165g	-0.293	-0.442	-0.3395	0.375	0.32	-0.0835	0.046	0.026	-0.5115	0.6085	0.8795	-0.284	-0.1455	-0.1885	0.14	0.0495	0.6445
CAGL0A00187g	-0.3085	-0.302	-0.3445	0.2125	0.4355	0.0755	-0.159	-0.3205	-0.2535	0.5185	0.2765	-0.1775	-0.2355	-0.198	0.395	0.914	0.513
CAGL0A00209g	-0.073	0.246	-5e-04	0.0255	0.0585	0.2665	-0.2225	-0.153	0.656	-0.445	-0.7605	0.385	0.298	0.257	0.39	0.09	0.575
CAGL0A00231g	-0.166	-0.1375	-0.5005	-0.168	-0.1275	-0.2565	-0.215	-0.289	-0.288	-0.4405	-0.39	-0.505	-0.3735	-0.45	-0.0255	0.2555	0.1575
CAGL0A00253g	0.672	0.364	0.5705	-0.4	-0.61	-0.3745	0.4855	0.091	0.4625	-0.0875	-0.2365	0.002	0.1095	0.169	-0.0595	-0.347	0.324
CAGL0A00275g	0.0835	0.3415	-0.182	-0.28	-0.032	-0.294	-0.086	-0.0265	0.218	-0.3005	-0.3045	0.208	0.1195	0.156	-0.2155	0.2835	-0.021
CAGL0A00297g	0.299	0.233	0.472	-0.4075	-0.396	-0.625	0.3115	0.3975	-0.013	0.0355	0.375	0.295	0.2315	0.233	0.4385	0.442	0.021
CAGL0A00319g	0.2455	0.098	0.2545	-0.1395	0.1055	-0.191	0.621	0.379	0.4535	0.696	0.5625	0.2525	0.278	0.127	0.277	0.3625	0.3405
CAGL0A00341g	-0.854	-0.586	-0.5355	0.2245	0.5505	-0.1195	-0.1825	0.304	0.057	-0.1305	-0.0315	-0.2525	-0.299	-0.328	0.0965	-0.00849999999999999	0.393
CAGL0A00363g	-0.2845	-0.2165	-0.378	-1.29	-1.262	-1.409	-0.193	0.06	-0.5035	0.98	1.6455	-0.6415	-0.604	-0.5345	0.8725	0.9265	-0.0315
CAGL0A00385g	-0.015	0.2795	-0.046	0.426	0.718	0.5845	-0.2745	0.0145	0.333	0.802	0.524	0.379	0.3455	0.142	0.228	0.7925	0.522
CAGL0A00407g	0.051	0.2575	0.2085	0.6715	0.701	0.519	-0.22	-0.1565	-0.3945	0.425	0.605	0.211	0.17	0.1275	-0.1135	-0.4415	-0.4035
CAGL0A00429g	0.0475	0.2945	-0.011	-0.32	-0.1825	-0.137	0.212	0.611	0.762	-0.6205	-0.62	0.046	0.09	0.061	0.2285	0.1125	0.1885
CAGL0A00451g	0.205	0.5095	0.316	0.26	0.3655	0.3005	-0.0135	0.4565	0.0845	0.618	0.8365	0.8505	0.7945	0.849	0.038	0.3835	-0.244
CAGL0A00473g	0.322	0.082	-0.054	-0.767	-0.7455	-0.623	0.2235	-0.0815	0.187	-0.449	-0.576	0.225	0.2005	0.038	0.272	0.3905	-0.1315
