id	group	colLow	colHigh	shape	size
CAGL0A00737g	F4	firebrick	black	circle	3
CAGL0A00979g	F1	chartreuse	black	circle	3
CAGL0A01067g	Others	chartreuse	black	circle	3
CAGL0A01089g	Others	red	black	circle	3
CAGL0A01199g	F4	firebrick	darkgreen	square	9
CAGL0A01221g	F4	chartreuse	black	circle	3
CAGL0A01243g	F4	black	red	circle	3
CAGL0A01650g	Others	red	black	circle	3
CAGL0A01716g	F2	firebrick	black	circle	3
CAGL0A01782g	F4	red	black	circle	3
CAGL0A01826g	F4	red	black	circle	3
CAGL0A02002g	F1	red	black	circle	3
CAGL0A02112g	F1	chartreuse	black	circle	3
CAGL0A02145g	F2	black	firebrick	circle	3
CAGL0A02211g	F4	red	black	circle	3
CAGL0A02233g	F4	red	black	circle	3
CAGL0A02277g	Others	firebrick	white	circle	3
CAGL0A02299g	Others	red	firebrick	circle	9
CAGL0A02816g	F3	red	chartreuse	square	9
CAGL0A03102g	F5	firebrick	black	circle	3
CAGL0A03366g	F3	black	firebrick	circle	3
CAGL0A03476g	F4	firebrick	black	circle	3
CAGL0A03542g	F3	chartreuse	firebrick	square	9
CAGL0A03740g	F3	firebrick	red	circle	9
CAGL0A03905g	F3	red	chartreuse	square	9
CAGL0A04015g	F1	chartreuse	black	circle	3
CAGL0A04499g	F2	firebrick	darkgreen	square	9
CAGL0A04653g	F1	black	firebrick	circle	3
CAGL0A04829g	F1	firebrick	firebrick	circle	9
CAGL0B00286g	F1	darkgreen	black	circle	3
CAGL0B00594g	Others	chartreuse	darkgreen	circle	9
CAGL0B00792g	F1	chartreuse	darkgreen	circle	9
CAGL0B00814g	F4	red	black	circle	3
CAGL0B00946g	Others	firebrick	black	circle	3
CAGL0B00990g	F3	red	black	circle	3
CAGL0B01012g	F4	black	darkgreen	circle	3
CAGL0B01122g	F5	darkgreen	darkgreen	circle	9
CAGL0B01507g	F1	chartreuse	black	circle	3
CAGL0B01639g	F4	black	firebrick	circle	3
CAGL0B01727g	F1	red	black	circle	3
CAGL0B01881g	F1	chartreuse	black	circle	3
CAGL0B02475g	F2	chartreuse	red	square	9
CAGL0B02585g	Others	darkgreen	black	circle	3
CAGL0B02717g	F5	black	chartreuse	circle	3
CAGL0B02794g	F1	black	firebrick	circle	3
CAGL0B02838g	F4	red	black	circle	3
CAGL0B02860g	F1	firebrick	black	circle	3
CAGL0B02904g	Others	firebrick	firebrick	circle	9
CAGL0B02970g	Others	black	white	circle	3
CAGL0B03421g	F2	firebrick	darkgreen	square	9
CAGL0B03619g	F1	red	black	circle	3
CAGL0B03663g	F1	black	darkgreen	circle	3
CAGL0B03817g	F2	red	black	circle	3
CAGL0B03993g	F1	chartreuse	black	circle	3
CAGL0B04213g	F2	black	red	circle	3
CAGL0B04433g	F4	black	firebrick	circle	3
CAGL0B04675g	F2	red	chartreuse	square	9
CAGL0C00110g	Others	black	firebrick	circle	3
CAGL0C00275g	Others	red	firebrick	circle	9
CAGL0C00495g	F2	black	darkgreen	circle	3
CAGL0C00539g	F2	black	darkgreen	circle	3
CAGL0C00759g	F2	black	darkgreen	circle	3
CAGL0C00968g	Others	black	firebrick	circle	3
CAGL0C01133g	Others	black	firebrick	circle	3
CAGL0C01287g	F2	darkgreen	darkgreen	circle	9
CAGL0C01325g	F3	chartreuse	black	circle	3
CAGL0C01595g	F1	black	firebrick	circle	3
CAGL0C01727g	F3	black	darkgreen	circle	3
CAGL0C01749g	Others	black	chartreuse	circle	3
CAGL0C01771g	F4	red	black	circle	3
CAGL0C02035g	F5	chartreuse	black	circle	3
CAGL0C02233g	F3	firebrick	black	circle	3
CAGL0C02365g	Others	firebrick	black	circle	3
CAGL0C02739g	F1	firebrick	black	circle	3
CAGL0C03113g	F2	red	black	circle	3
CAGL0C03267g	F4	black	red	circle	3
CAGL0C03333g	F3	red	darkgreen	square	9
CAGL0C03443g	F3	chartreuse	black	circle	3
CAGL0C03487g	Others	black	darkgreen	circle	3
CAGL0C03608g	Others	black	firebrick	circle	3
CAGL0C03630g	F5	black	darkgreen	circle	3
CAGL0C03652g	F1	black	darkgreen	circle	3
CAGL0C03850g	F3	firebrick	black	circle	3
CAGL0C03872g	Others	red	black	circle	3
CAGL0C04191g	F3	red	black	circle	3
CAGL0C04279g	F1	darkgreen	black	circle	3
CAGL0C04587g	F1	firebrick	black	circle	3
CAGL0C04917g	F1	chartreuse	black	circle	3
CAGL0C05027g	F1	firebrick	red	circle	9
CAGL0C05115g	F1	chartreuse	firebrick	square	9
CAGL0C05445g	F4	black	firebrick	circle	3
CAGL0D00198g	F3	firebrick	darkgreen	square	9
CAGL0D00264g	Others	black	darkgreen	circle	3
CAGL0D00352g	F4	firebrick	red	circle	9
CAGL0D00418g	F4	black	chartreuse	circle	3
CAGL0D00528g	F3	black	darkgreen	circle	3
CAGL0D00704g	F4	firebrick	black	circle	3
CAGL0D00748g	F3	chartreuse	black	circle	3
CAGL0D00770g	F3	firebrick	black	circle	3
CAGL0D00880g	F1	chartreuse	darkgreen	circle	9
CAGL0D01265g	Others	white	white	circle	3
