"Name"	"Conditions"	"logFC"	"hovertext"
"CAGL0A00737g"	"WT_4H-0H"	-0.861	"CAGL0A00737g - -0.861"
"CAGL0A00979g"	"WT_4H-0H"	-1.301	"CAGL0A00979g - -1.301"
"CAGL0A01067g"	"WT_4H-0H"	-1.031	"CAGL0A01067g - -1.031"
"CAGL0A01089g"	"WT_4H-0H"	2.614	"CAGL0A01089g - 2.614"
"CAGL0A01199g"	"WT_4H-0H"	0.351	"CAGL0A01199g - 0.351"
"CAGL0A01221g"	"WT_4H-0H"	-1.847	"CAGL0A01221g - -1.847"
"CAGL0A01243g"	"WT_4H-0H"	0.522	"CAGL0A01243g - 0.522"
"CAGL0A01650g"	"WT_4H-0H"	0.547	"CAGL0A01650g - 0.547"
"CAGL0A01716g"	"WT_4H-0H"	1.467	"CAGL0A01716g - 1.467"
"CAGL0A01782g"	"WT_4H-0H"	-0.984	"CAGL0A01782g - -0.984"
"CAGL0A01826g"	"WT_4H-0H"	1.683	"CAGL0A01826g - 1.683"
"CAGL0A02002g"	"WT_4H-0H"	3.947	"CAGL0A02002g - 3.947"
"CAGL0A02112g"	"WT_4H-0H"	-0.264	"CAGL0A02112g - -0.264"
"CAGL0A02145g"	"WT_4H-0H"	2.064	"CAGL0A02145g - 2.064"
"CAGL0A02211g"	"WT_4H-0H"	-0.386	"CAGL0A02211g - -0.386"
"CAGL0A02233g"	"WT_4H-0H"	-0.516	"CAGL0A02233g - -0.516"
"CAGL0A02277g"	"WT_4H-0H"	-0.016	"CAGL0A02277g - -0.016"
"CAGL0A02299g"	"WT_4H-0H"	2.818	"CAGL0A02299g - 2.818"
"CAGL0A02816g"	"WT_4H-0H"	1.556	"CAGL0A02816g - 1.556"
"CAGL0A03102g"	"WT_4H-0H"	-1.338	"CAGL0A03102g - -1.338"
"CAGL0A03366g"	"WT_4H-0H"	-0.47	"CAGL0A03366g - -0.47"
"CAGL0A03476g"	"WT_4H-0H"	1.604	"CAGL0A03476g - 1.604"
"CAGL0A03542g"	"WT_4H-0H"	-2.038	"CAGL0A03542g - -2.038"
"CAGL0A03740g"	"WT_4H-0H"	1.946	"CAGL0A03740g - 1.946"
"CAGL0A03905g"	"WT_4H-0H"	2.361	"CAGL0A03905g - 2.361"
"CAGL0A04015g"	"WT_4H-0H"	-1.465	"CAGL0A04015g - -1.465"
"CAGL0A04499g"	"WT_4H-0H"	-1.387	"CAGL0A04499g - -1.387"
"CAGL0A04653g"	"WT_4H-0H"	-0.591	"CAGL0A04653g - -0.591"
"CAGL0A04829g"	"WT_4H-0H"	0.105	"CAGL0A04829g - 0.105"
"CAGL0B00286g"	"WT_4H-0H"	0.491	"CAGL0B00286g - 0.491"
"CAGL0B00594g"	"WT_4H-0H"	0.793	"CAGL0B00594g - 0.793"
"CAGL0B00792g"	"WT_4H-0H"	-1.363	"CAGL0B00792g - -1.363"
"CAGL0B00814g"	"WT_4H-0H"	1.907	"CAGL0B00814g - 1.907"
"CAGL0B00946g"	"WT_4H-0H"	3.028	"CAGL0B00946g - 3.028"
"CAGL0B00990g"	"WT_4H-0H"	2.715	"CAGL0B00990g - 2.715"
"CAGL0B01012g"	"WT_4H-0H"	-0.507	"CAGL0B01012g - -0.507"
"CAGL0B01122g"	"WT_4H-0H"	-1.021	"CAGL0B01122g - -1.021"
"CAGL0B01507g"	"WT_4H-0H"	-1.64	"CAGL0B01507g - -1.64"
"CAGL0B01639g"	"WT_4H-0H"	0.91	"CAGL0B01639g - 0.91"
"CAGL0B01727g"	"WT_4H-0H"	3.658	"CAGL0B01727g - 3.658"
"CAGL0B01881g"	"WT_4H-0H"	-2.057	"CAGL0B01881g - -2.057"
"CAGL0B02475g"	"WT_4H-0H"	-4.23	"CAGL0B02475g - -4.23"
"CAGL0B02585g"	"WT_4H-0H"	-0.217	"CAGL0B02585g - -0.217"
"CAGL0B02717g"	"WT_4H-0H"	-1.287	"CAGL0B02717g - -1.287"
"CAGL0B02794g"	"WT_4H-0H"	-1.671	"CAGL0B02794g - -1.671"
"CAGL0B02838g"	"WT_4H-0H"	3.776	"CAGL0B02838g - 3.776"
"CAGL0B02860g"	"WT_4H-0H"	3.568	"CAGL0B02860g - 3.568"
"CAGL0B02904g"	"WT_4H-0H"	0.827	"CAGL0B02904g - 0.827"
"CAGL0B02970g"	"WT_4H-0H"	0.54	"CAGL0B02970g - 0.54"
"CAGL0B03421g"	"WT_4H-0H"	2.557	"CAGL0B03421g - 2.557"
"CAGL0B03619g"	"WT_4H-0H"	4.803	"CAGL0B03619g - 4.803"
"CAGL0B03663g"	"WT_4H-0H"	-0.103	"CAGL0B03663g - -0.103"
"CAGL0B03817g"	"WT_4H-0H"	2.92	"CAGL0B03817g - 2.92"
"CAGL0B03993g"	"WT_4H-0H"	-1.746	"CAGL0B03993g - -1.746"
"CAGL0B04213g"	"WT_4H-0H"	-0.465	"CAGL0B04213g - -0.465"
"CAGL0B04433g"	"WT_4H-0H"	-0.676	"CAGL0B04433g - -0.676"
"CAGL0B04675g"	"WT_4H-0H"	3.632	"CAGL0B04675g - 3.632"
