C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	C13	C14	C15	C16	C17	C18	C19	C20	C21	C22	C23	C24	C25	C26	C27	C28	C29	C30	C31	C32	C33	C34	C35	C36	C37	C38
CAGL0A00737g		Has domain(s) with predicted transmembrane transporter activity, role in transmembrane transport and integral component of membrane, membrane localization	2.03e+00	3.97e-04	9.79e-01	7.72e-04	6.12e-01	2.79e-02	2.35e-01	4.08e-01	2.31e+00	1.21e+00	1.34e+00	3.03e-01	1	0	0	0	TRANSPORT / TRAFFICKING	PLASMA MEMBRANE	F4	CAGL0A00737g	OFF	UP	0	0	0	CAGL0A00737g	YDR343C	S000002751	YDR343C	HXT6	High-affinity glucose transporter; member of the major facilitator superfamily, nearly identical to Hxt7p, expressed at high basal levels relative to other HXTs, repression of expression by high glucose requires SNF3; HXT6 has a paralog, HXT1, that arose from the whole genome duplication	 NA	 NA	 NA	 NA
CAGL0A00979g		Ortholog(s) have cytosolic large ribosomal subunit, hyphal cell wall, yeast-form cell wall localization	-1.78e+00	4.28e-05	-1.38e+00	7.33e-05	-1.83e-01	1.97e-01	-7.36e-01	6.21e-03	-2.13e+00	-1.88e+00	-6.21e-01	-1.40e+00	-1	0	0	0	METABOLISM	RIBOSOMAL BIOGENESIS	F1	CAGL0A00979g	OFF	DOWN	DOWN	0	0	CAGL0A00979g	YLR325C	S000004317	YLR325C	RPL38	Ribosomal 60S subunit protein L38; homologous to mammalian ribosomal protein L38, no bacterial homolog	7.75e-01	3.37e-02	2.91e-01	6.76e-02
CAGL0A01067g		Ortholog of S. cerevisiae : KEL3, C. albicans SC5314 : C1_13720W_A, C. dubliniensis CD36 : Cd36_12710, C. parapsilosis CDC317 : CPAR2_201590 and C. auris B8441 : B9J08_002506	-1.78e+00	1.87e-05	-1.23e+00	1.72e-04	8.67e-03	9.38e-01	-2.31e-01	2.80e-01	-2.13e+00	-1.69e+00	-1.46e-01	-5.13e-01	-1	0	0	0	UNCLASSIFIED	_	Others	CAGL0A01067g	OFF	DOWN	DOWN	0	0	CAGL0A01067g	YPL263C	S000006184	YPL263C	KEL3	Cytoplasmic protein of unknown function	5.39e-01	1.76e-01	-9.24e-02	6.24e-01
CAGL0A01089g		Has domain(s) with predicted alcohol O-acetyltransferase activity and role in alcohol metabolic process	2.11e+00	5.12e-04	2.92e+00	1.05e-05	-6.17e-01	1.07e-02	-4.01e-01	1.88e-01	2.41e+00	3.77e+00	-1.69e+00	-8.09e-01	1	1	0	0	UNCLASSIFIED	_	Others	CAGL0A01089g	OFF	UP	UP	0	0	CAGL0A01089g	YPL272C	S000006193	YPL272C	PBI1	Putative protein of unknown function; gene expression induced in response to ketoconazole; YPL272C is not an essential gene	 NA	 NA	 NA	 NA
CAGL0A01199g	DIP5	Putative dicarboxylic amino acid permease	4.13e-01	8.23e-02	1.82e+00	2.57e-04	-1.35e+00	1.26e-04	-8.55e-02	8.07e-01	4.26e-01	2.32e+00	-3.49e+00	-2.58e-01	0	1	-1	0	TRANSPORT / TRAFFICKING	PLASMA MEMBRANE	F4	CAGL0A01199g	Type I	0	UP	DOWN	0	CAGL0A01199g	YPL265W	S000006186	YPL265W	DIP5	Dicarboxylic amino acid permease; mediates high-affinity and high-capacity transport of L-glutamate and L-aspartate; also a transporter for Gln, Asn, Ser, Ala, and Gly; relocalizes from plasma membrane to vacuole upon DNA replication stress	 NA	 NA	 NA	 NA
CAGL0A01221g		Has domain(s) with predicted channel activity, role in transmembrane transport and membrane localization	-1.45e+00	5.41e-05	-3.32e+00	1.01e-06	-5.02e-01	2.14e-02	2.29e-01	5.68e-01	-1.75e+00	-4.44e+00	-1.41e+00	2.93e-01	0	-1	0	0	TRANSPORT / TRAFFICKING	PLASMA MEMBRANE	F4	CAGL0A01221g	OFF	DOWN	DOWN	0	0	CAGL0A01221g	YPR192W	S000006396	YPR192W	AQY1	Spore-specific water channel; mediates the transport of water across cell membranes, developmentally controlled; may play a role in spore maturation, probably by allowing water outflow, may be involved in freeze tolerance	-1.10e+00	2.07e-02	-1.10e+00	1.34e-03
CAGL0A01243g	GIT1	Has domain(s) with predicted transmembrane transporter activity, role in transmembrane transport and integral component of membrane, integral component of plasma membrane localization	1.04e+00	4.11e-05	9.48e-01	6.22e-04	7.31e-01	4.37e-04	3.66e+00	1.06e-06	1.16e+00	1.17e+00	1.64e+00	6.30e+00	0	0	0	1	TRANSPORT / TRAFFICKING	PLASMA MEMBRANE	F4	CAGL0A01243g	OFF	0	0	UP	UP	CAGL0A01243g	YCR098C	S000000695	YCR098C	GIT1	Plasma membrane permease; mediates uptake of glycerophosphoinositol and glycerophosphocholine as sources of the nutrients inositol and phosphate; expression and transport rate are regulated by phosphate and inositol availability	 NA	 NA	 NA	 NA
CAGL0A01650g		Putative protein; gene is upregulated in azole-resistant strain	2.46e+00	3.88e-06	2.31e+00	3.27e-06	2.46e-01	1.38e-01	5.26e-01	2.66e-02	2.81e+00	2.96e+00	4.42e-01	8.11e-01	1	1	0	0	UNCLASSIFIED	_	Others	CAGL0A01650g	OFF	UP	UP	0	0	CAGL0A01650g	NO_ORTHO	CAL0126725	CAGL0A01650g		Putative protein; gene is upregulated in azole-resistant strain	 NA	 NA	 NA	 NA
CAGL0A01716g		Ortholog(s) have nicotinamidase activity and role in chromatin silencing at rDNA, chromatin silencing at telomere, negative regulation of DNA amplification, replicative cell aging	1.80e+00	5.47e-04	1.69e-01	4.55e-01	-7.13e-02	7.32e-01	-3.40e-01	1.27e-01	2.05e+00	1.49e-01	-3.44e-01	-7.04e-01	1	0	0	0	REGULATION	CHROMATIN CONFORMATION	F2	CAGL0A01716g	OFF	UP	0	0	0	CAGL0A01716g	YGL037C	S000003005	YGL037C	PNC1	Nicotinamidase that converts nicotinamide to nicotinic acid; part of the NAD(+) salvage pathway; required for life span extension by calorie restriction; lacks a peroxisomal targeting signal but is imported into peroxisomes via binding to Gpd1p; PNC1 expression responds to all known stimuli that extend replicative life span; protein increases in abundance and relative distribution to cytoplasmic foci decreases upon DNA replication stress	-8.17e-01	3.30e-01	9.54e-01	1.67e-03
CAGL0A01782g	HXT4	Ortholog(s) have glucose transmembrane transporter activity, pentose transmembrane transporter activity and plasma membrane localization	1.85e+00	8.80e-04	1.30e+00	7.46e-03	5.68e-01	4.06e-03	2.46e-01	5.64e-01	2.10e+00	1.63e+00	1.23e+00	3.21e-01	1	0	0	0	TRANSPORT / TRAFFICKING	PLASMA MEMBRANE	F4	CAGL0A01782g	OFF	UP	UP	0	0	CAGL0A01782g	YHR092C	S000001134	YHR092C	HXT4	High-affinity glucose transporter; member of the major facilitator superfamily, expression is induced by low levels of glucose and repressed by high levels of glucose; HXT4 has a paralog, HXT7, that arose from the whole genome duplication	 NA	 NA	 NA	 NA
