"";"Name";"Conditions";"logFC";"hovertext"
"1";"CAGL0A00737g";"T10";NA;"CAGL0A00737g - NA"
"2";"CAGL0A00979g";"T10";"0.775439854847821";"CAGL0A00979g - 0.775439854847821"
"3";"CAGL0A01067g";"T10";"0.538744515023048";"CAGL0A01067g - 0.538744515023048"
"4";"CAGL0A01089g";"T10";NA;"CAGL0A01089g - NA"
"5";"CAGL0A01199g";"T10";NA;"CAGL0A01199g - NA"
"6";"CAGL0A01221g";"T10";"-1.0986030927521";"CAGL0A01221g - -1.0986030927521"
"7";"CAGL0A01243g";"T10";NA;"CAGL0A01243g - NA"
"8";"CAGL0A01650g";"T10";NA;"CAGL0A01650g - NA"
"9";"CAGL0A01716g";"T10";"-0.816856986757865";"CAGL0A01716g - -0.816856986757865"
"10";"CAGL0A01782g";"T10";NA;"CAGL0A01782g - NA"
"11";"CAGL0A01826g";"T10";NA;"CAGL0A01826g - NA"
"12";"CAGL0A02002g";"T10";NA;"CAGL0A02002g - NA"
"13";"CAGL0A02112g";"T10";"-0.609082903808947";"CAGL0A02112g - -0.609082903808947"
"14";"CAGL0A02145g";"T10";NA;"CAGL0A02145g - NA"
"15";"CAGL0A02211g";"T10";NA;"CAGL0A02211g - NA"
"16";"CAGL0A02233g";"T10";NA;"CAGL0A02233g - NA"
"17";"CAGL0A02277g";"T10";NA;"CAGL0A02277g - NA"
"18";"CAGL0A02299g";"T10";"-0.360817647126391";"CAGL0A02299g - -0.360817647126391"
"19";"CAGL0A02816g";"T10";"-0.575742683047283";"CAGL0A02816g - -0.575742683047283"
"20";"CAGL0A03102g";"T10";"0.288680536344283";"CAGL0A03102g - 0.288680536344283"
"21";"CAGL0A03366g";"T10";"-0.627604721285965";"CAGL0A03366g - -0.627604721285965"
"22";"CAGL0A03476g";"T10";NA;"CAGL0A03476g - NA"
"23";"CAGL0A03542g";"T10";"0.0353810818756976";"CAGL0A03542g - 0.0353810818756976"
"24";"CAGL0A03740g";"T10";NA;"CAGL0A03740g - NA"
"25";"CAGL0A03905g";"T10";NA;"CAGL0A03905g - NA"
"26";"CAGL0A04015g";"T10";"0.0596781599795237";"CAGL0A04015g - 0.0596781599795237"
"27";"CAGL0A04499g";"T10";NA;"CAGL0A04499g - NA"
"28";"CAGL0A04653g";"T10";NA;"CAGL0A04653g - NA"
"29";"CAGL0A04829g";"T10";"0.120084189890378";"CAGL0A04829g - 0.120084189890378"
"30";"CAGL0B00286g";"T10";NA;"CAGL0B00286g - NA"
"31";"CAGL0B00594g";"T10";NA;"CAGL0B00594g - NA"
"32";"CAGL0B00792g";"T10";"-1.05882497271532";"CAGL0B00792g - -1.05882497271532"
"33";"CAGL0B00814g";"T10";"0.233852823711106";"CAGL0B00814g - 0.233852823711106"
"34";"CAGL0B00946g";"T10";"-4.46080183557272";"CAGL0B00946g - -4.46080183557272"
"35";"CAGL0B00990g";"T10";"0.910175397132331";"CAGL0B00990g - 0.910175397132331"
"36";"CAGL0B01012g";"T10";NA;"CAGL0B01012g - NA"
"37";"CAGL0B01122g";"T10";"-0.337134255293298";"CAGL0B01122g - -0.337134255293298"
"38";"CAGL0B01507g";"T10";"-0.266558006983628";"CAGL0B01507g - -0.266558006983628"
"39";"CAGL0B01639g";"T10";NA;"CAGL0B01639g - NA"
"40";"CAGL0B01727g";"T10";NA;"CAGL0B01727g - NA"
"41";"CAGL0B01881g";"T10";"-0.255487998580441";"CAGL0B01881g - -0.255487998580441"
"42";"CAGL0B02475g";"T10";NA;"CAGL0B02475g - NA"
"43";"CAGL0B02585g";"T10";"-1.04339361057887";"CAGL0B02585g - -1.04339361057887"
"44";"CAGL0B02717g";"T10";"-0.229136760465558";"CAGL0B02717g - -0.229136760465558"
