logFC	AveExpr	t	P.Value	adj.P.Val	B	log2.YPGlu30.Ref._YPGlu30.C.1	log2.YPGlu30.Ref._YPGlu30.C.2	log2.YPGlu30.Ref._YPGlu30.C.3	log2.YPGluBPS30.Ref._YPGlu.BPS30.C.1	log2.YPGluBPS30.Ref._YPGlu.BPS30.C.2	log2.YPGluBPS30.Ref._YPGlu.BPS30.C.3
CAGL0G06798g	6.11283333333333	-0.845583333333333	43.84704010449	4.22521194928149e-11	1.64725104020591e-07	15.8915594399054	-4.1175	-3.9925	-3.596	2.1955	2.2155	2.2215
CAGL0K05137g	5.65133333333333	-2.42316666666667	41.670196676923	6.43080632522314e-11	1.64725104020591e-07	15.5591991747875	-5.3455	-5.234	-5.167	0.617	0.454	0.1365
CAGL0H09966g	4.31833333333333	-0.3885	36.1392287027151	2.07954082128177e-10	2.10734483923903e-07	14.5806932863939	-2.7065	-2.524	-2.4125	1.897	1.7985	1.6165
CAGL0K08756g	3.7965	-0.37125	35.3150354205374	2.51459368386652e-10	2.10734483923903e-07	14.4158770711799	-2.232	-2.3905	-2.186	1.569	1.618	1.394
CAGL0H02585g	3.578	-0.3505	35.0885806367	2.65136124660096e-10	2.10734483923903e-07	14.3696256724003	-2.1785	-2.1705	-2.0695	1.533	1.4795	1.303
CAGL0K07678g	4.80316666666667	-1.49758333333333	34.8859153096768	2.78085524348634e-10	2.10734483923903e-07	14.327871621778	-3.883	-4.131	-3.6835	0.933	1.0325	0.7465
CAGL0E02255g	-3.5085	-0.419416666666667	-34.7385739493148	2.8794483456321e-10	2.10734483923903e-07	14.2972990699622	1.27	1.283	1.4515	-2.234	-2.0805	-2.2065
CAGL0H06545g	4.49033333333333	-0.772333333333333	34.0969958412196	3.35692991541234e-10	2.14969399458218e-07	14.1620098084151	-3.1685	-3.133	-2.751	1.4625	1.3905	1.5655
CAGL0J05082g	3.208	0.0998333333333334	31.5298612964727	6.39072201075337e-10	3.6377409845655e-07	13.5831173900592	-1.4975	-1.605	-1.41	1.729	1.78	1.6025
CAGL0J00451g	3.19516666666667	0.287916666666667	30.0214987938074	9.56089574782778e-10	4.89804689161217e-07	13.212250151788	-1.3625	-1.4075	-1.159	1.859	1.9755	1.822
CAGL0H08844g	3.18733333333333	-0.0403333333333333	28.9802949761266	1.27756577425534e-09	5.94997223773647e-07	12.9415472548117	-1.6045	-1.692	-1.6055	1.4985	1.7355	1.426
CAGL0B04675g	4.85616666666667	-0.378416666666667	28.1910195692481	1.60252961604598e-09	6.84146601916963e-07	12.7277669409917	-3.053	-2.9645	-2.402	1.9695	1.998	2.1815
CAGL0I06743g	3.61033333333333	0.116666666666667	27.5415911709447	1.9401696036371e-09	7.64576067648682e-07	12.5460147301874	-1.838	-1.682	-1.5455	1.922	2.119	1.7245
CAGL0M14069g	3.522	-0.236333333333333	26.6947881568995	2.5063422775479e-09	8.8032212892086e-07	12.3006794684288	-2.138	-1.9085	-1.9455	1.278	1.678	1.618
CAGL0E01793g	2.89966666666667	-1.25883333333333	26.6036896324376	2.57755844891917e-09	8.8032212892086e-07	12.2737032991944	-2.872	-2.674	-2.58	0.142	0.2735	0.1575
CAGL0A03905g	2.56133333333333	0.242166666666667	25.6564741756021	3.46898499545246e-09	1.08328909074184e-06	11.9862027562952	-1.155	-0.932	-1.0285	1.46	1.5595	1.549
CAGL0G01122g	2.46483333333333	0.584416666666667	25.545140796873	3.59475200909844e-09	1.08328909074184e-06	11.95154771878	-0.7035	-0.6425	-0.598	1.9225	1.7485	1.7795
CAGL0I08547g	-4.15716666666667	-1.16608333333333	-24.9830456467448	4.31295959476717e-09	1.18331486380447e-06	11.7737027629392	1.081	0.925	0.7315	-2.894	-3.472	-3.368
CAGL0L11990g	5.90183333333333	-0.660916666666667	24.9300052763758	4.38863603597208e-09	1.18331486380447e-06	11.7566683474893	-3.917	-3.938	-2.9805	2.2525	2.349	2.2685
CAGL0M03003g	4.04416666666667	0.0284166666666666	24.0870618257474	5.81482434657174e-09	1.48946725637435e-06	11.4798888347752	-2.215	-1.9735	-1.7925	2.0685	1.7525	2.3305
CAGL0L07480g	2.28216666666667	-0.06325	23.85728157382	6.28887406821901e-09	1.53418580245171e-06	11.4024068417044	-1.312	-1.189	-1.112	1.0595	1.0865	1.0875
CAGL0K09702g	2.0835	0.26225	23.4472392256822	7.24622201482742e-09	1.68738160827095e-06	11.261893539823	-0.805	-0.779	-0.7545	1.327	1.2525	1.3325
CAGL0K08536g	4.114	-0.162166666666667	22.8610098040363	8.91119882540283e-09	1.98487267750168e-06	11.0558423954937	-2.31	-2.31	-2.0375	1.796	2.2945	1.594
CAGL0I05390g	2.106	0.2265	22.7330028103306	9.32926818564595e-09	1.99141003812768e-06	11.0100177992784	-0.912	-0.774	-0.7935	1.287	1.3115	1.24
CAGL0G02937g	3.4025	-0.97875	22.1290360079578	1.16221896440922e-08	2.34407035273736e-06	10.7896409809008	-2.983	-2.6825	-2.3745	0.7995	0.6255	0.7425
CAGL0B01727g	2.2855	0.0469166666666666	22.0658425510134	1.18965116477009e-08	2.34407035273736e-06	10.7661769850309	-1.102	-1.186	-0.9995	1.148	1.3115	1.1095
CAGL0M05511g	2.04216666666667	0.14775	21.7644372904605	1.33086417125602e-08	2.52519153679429e-06	10.6531780889173	-0.973	-0.8055	-0.8415	1.183	1.143	1.1805
CAGL0K08184g	-2.93633333333333	-1.38033333333333	-21.4386183593768	1.50499289763032e-08	2.75359950520005e-06	10.5289682947182	0.1515	0.025	0.087	-2.6435	-2.765	-3.137
CAGL0G07106g	-2.50716666666667	-0.562416666666667	-21.2477442268515	1.61876691977032e-08	2.7542627064047e-06	10.4551866563495	0.815	0.795	0.4635	-1.851	-1.812	-1.785
CAGL0H00704g	2.33866666666667	0.346166666666667	21.1971816191379	1.65049599040153e-08	2.7542627064047e-06	10.4355141180603	-0.911	-0.9025	-0.656	1.4135	1.587	1.546
CAGL0F08261g	5.03483333333334	-0.145916666666667	21.1233601783835	1.69807747022888e-08	2.7542627064047e-06	10.4066952438818	-2.717	-2.7825	-2.4905	2.212	2.965	1.9375
CAGL0C01771g	2.7195	0.0165833333333334	21.0895115528371	1.72040614102968e-08	2.7542627064047e-06	10.3934425517832	-1.44	-1.5045	-1.085	1.4615	1.354	1.3135
CAGL0L05258g	4.01216666666667	0.29925	20.8477926487561	1.88974890210938e-08	2.9336920077292e-06	10.2980892424098	-1.6865	-1.8525	-1.5815	2.6025	1.8425	2.471
CAGL0F02233g	-2.17816666666667	-0.171583333333333	-20.610630262481	2.07422105924892e-08	3.01102107268355e-06	10.2032988032345	0.9225	1.037	0.793	-1.247	-1.1785	-1.3565
CAGL0G02255g	2.099	0.175	20.4538194486187	2.20723520730555e-08	3.01102107268355e-06	10.1399397904454	-0.9175	-0.833	-0.873	1.147	1.1505	1.376
CAGL0E05654g	2.66816666666667	-0.197916666666667	20.3989980082856	2.25596715871852e-08	3.01102107268355e-06	10.1176592011532	-1.5655	-1.663	-1.3675	1.2	1.289	0.9195
CAGL0F01419g	3.46333333333333	-0.166166666666667	20.3851151435042	2.26849811901506e-08	3.01102107268355e-06	10.1120061440096	-2.1355	-2.0795	-1.4785	1.568	1.5495	1.579
CAGL0D05082g	2.586	-0.0856666666666667	20.3616051585897	2.2898966796199e-08	3.01102107268355e-06	10.1024230035072	-1.2495	-1.5285	-1.358	1.2465	1.369	1.0065
CAGL0E04510g	1.93166666666667	0.0261666666666667	20.3590803645646	2.29220811701461e-08	3.01102107268355e-06	10.1013931019541	-0.9975	-0.9705	-0.851	1.0595	0.955	0.9615
CAGL0L11000g	-2.14616666666667	-0.703583333333333	-20.251393416835	2.39326755185256e-08	3.06517741703516e-06	10.0573309365104	0.287	0.477	0.3445	-1.698	-1.72	-1.912
CAGL0J07568g	1.92316666666667	0.473916666666667	20.1154933507851	2.52798833663467e-08	3.15875225575108e-06	10.0013454560269	-0.5145	-0.3785	-0.57	1.406	1.4525	1.448
CAGL0I02024g	2.15766666666667	0.714166666666667	20.0077128741468	2.64087632853714e-08	3.22124034073709e-06	9.95664000739595	-0.4835	-0.4245	-0.186	1.7705	1.8295	1.779
CAGL0B03619g	2.65333333333333	0.1475	19.89477625806	2.76525163908263e-08	3.29450794116752e-06	9.90950416411048	-1.3	-1.0345	-1.203	1.369	1.721	1.3325
CAGL0F06677g	2.58233333333333	-0.445666666666667	19.8176699874229	2.85392896553334e-08	3.32288138418803e-06	9.87714965317072	-1.8155	-1.922	-1.473	0.8135	0.9185	0.8045
CAGL0A01650g	2.45616666666667	0.202583333333333	19.3885222298988	3.40950051068597e-08	3.88152691472094e-06	9.69446177102283	-1.175	-1.0365	-0.865	1.531	1.5275	1.2335
CAGL0K05813g	2.406	0.158	19.3199182202257	3.50906846255726e-08	3.90803428993062e-06	9.66483910713659	-1.275	-0.978	-0.882	1.3755	1.442	1.2655
CAGL0H02101g	5.15733333333333	-0.720166666666667	19.1533574984278	3.76461908663971e-08	4.10343480443728e-06	9.59243025906638	-3.3	-3.5005	-3.096	2.1465	2.263	1.166
CAGL0H00682g	1.77866666666667	-0.276166666666667	18.9078541453467	4.18011008299904e-08	4.44861403131478e-06	9.4844202038789	-1.1925	-1.103	-1.201	0.6965	0.5915	0.5515
CAGL0I00550g	2.04233333333333	0.271666666666667	18.8665303102071	4.25496950096475e-08	4.44861403131478e-06	9.46608724397047	-0.781	-0.8545	-0.613	1.1755	1.3785	1.3245
CAGL0I02530g	2.6945	0.24625	18.4997833411603	4.98917947221092e-08	5.09883690570935e-06	9.30141907726754	-1.301	-1.2045	-0.7975	1.61	1.7025	1.468
CAGL0C04279g	-1.75966666666667	-0.180333333333333	-18.4231271319859	5.15994118610116e-08	5.09883690570935e-06	9.26654773814909	0.7795	0.676	0.643	-1.009	-1.1425	-1.029
CAGL0C03872g	3.90966666666667	0.439666666666667	18.392320000518	5.23040096574535e-08	5.09883690570935e-06	9.25248861408337	-2.047	-1.111	-1.3875	2.3515	2.3755	2.4565
CAGL0C00275g	3.89133333333333	-0.398	18.3730579227481	5.2750020691508e-08	5.09883690570935e-06	9.24368508362615	-2.4595	-2.175	-2.3965	1.6455	1.949	1.0485
CAGL0M05951g	2.1415	-0.199583333333333	18.1837164420726	5.7367968884152e-08	5.44252045543539e-06	9.15660789970798	-1.3365	-1.278	-1.1965	1.07	0.8435	0.7
CAGL0M07271g	-2.05916666666667	-0.77425	-18.0204736562845	6.1714175835037e-08	5.74839496005262e-06	9.08073600045064	0.3	0.227	0.239	-1.5995	-1.949	-1.863
CAGL0H09592g	3.96283333333333	0.238083333333333	17.9298151117549	6.42861142259241e-08	5.88103148534659e-06	9.03827626399569	-2.276	-1.4615	-1.4925	2.236	2.002	2.4205
CAGL0J03080g	5.002	-1.5285	17.8438273645778	6.68367181277975e-08	6.00709661348608e-06	8.99778822910883	-4.364	-3.876	-3.8485	1.3145	1.321	0.282
CAGL0F08217g	2.5055	0.10375	17.6206031298582	7.40026853661624e-08	6.53647857122155e-06	8.89168737980352	-1.2165	-1.277	-0.9535	1.126	1.5705	1.373
CAGL0M08184g	2.05333333333333	0.066	17.4310122339058	8.07675368513469e-08	6.95403518865205e-06	8.80042704888434	-1.0415	-1.0435	-0.797	1.164	1.183	0.931
CAGL0G09603g	1.639	0.0815	17.3802928200754	8.26925691570807e-08	6.95403518865205e-06	8.77583185157192	-0.7405	-0.6715	-0.802	0.9415	0.823	0.9385
CAGL0L10362g	2.06266666666667	0.262666666666667	17.3113633550432	8.53914875279229e-08	6.95403518865205e-06	8.74228222254332	-0.8255	-0.7045	-0.776	1.3665	1.4425	1.073
CAGL0J09130g	1.68233333333333	0.191666666666667	17.303542931266	8.57038641312811e-08	6.95403518865205e-06	8.73846677884688	-0.7015	-0.6875	-0.5595	1.122	0.9735	1.003
CAGL0M12551g	5.22066666666667	-2.02933333333333	17.3001474842193	8.58398883278627e-08	6.95403518865205e-06	8.73680962537893	-4.6805	-4.5945	-4.644	1.0865	0.899	-0.2425
CAGL0J11682g	-2.14866666666667	-0.828	-17.2500757484836	8.78740764429885e-08	6.95403518865205e-06	8.71233144968055	0.4685	0.245	0.0255	-1.868	-1.9155	-1.9235
CAGL0B03993g	-2.692	-1.59333333333333	-17.217145554921	8.92412348180156e-08	6.95403518865205e-06	8.69619157007244	-0.2465	-0.0205	-0.475	-2.836	-2.777	-3.205
CAGL0F00407g	-2.76266666666667	-0.407666666666667	-17.1896331904316	9.04017049853792e-08	6.95403518865205e-06	8.68268172197956	0.901	1.295	0.725	-1.717	-1.983	-1.667
CAGL0D05060g	-1.905	-0.498333333333333	-17.1562803072879	9.18312058685651e-08	6.95403518865205e-06	8.66627283020679	0.5225	0.536	0.304	-1.5755	-1.349	-1.428
CAGL0I05610g	2.98483333333333	0.141583333333333	17.1453721925794	9.23041953598163e-08	6.95403518865205e-06	8.66089886610942	-1.29	-1.5005	-1.262	1.992	1.6245	1.2855
CAGL0H09614g	3.92216666666667	0.226583333333333	17.0916867841994	9.46720959070708e-08	6.99239846475025e-06	8.63439695385332	-2.213	-1.4805	-1.51	2.154	1.876	2.533
CAGL0I05934g	2.419	0.194	17.029106972984	9.75184066311525e-08	6.99239846475025e-06	8.60339178202136	-1.2555	-1.025	-0.766	1.3875	1.2745	1.5485
CAGL0E03850g	-2.3355	-0.981416666666667	-17.024647368819	9.77248643612384e-08	6.99239846475025e-06	8.60117762823056	0.196	0.007	0.356	-2.036	-2.0315	-2.38
CAGL0J02904g	2.26616666666667	-0.17525	17.0128577698024	9.82730215619789e-08	6.99239846475025e-06	8.59532121432204	-1.483	-1.2985	-1.1435	0.9445	1.151	0.778
CAGL0H04037g	2.81933333333333	-0.774333333333333	16.9759085456802	1.00013361666496e-07	7.01874591530765e-06	8.57693881300651	-2.2295	-2.1975	-2.125	0.607	0.998	0.301
CAGL0I09086g	2.41616666666667	0.277083333333333	16.9320630057862	1.02123366992286e-07	7.06997309596596e-06	8.55507002883224	-0.9455	-1.081	-0.7665	1.522	1.6995	1.234
CAGL0L04598g	2.06516666666667	-0.25525	16.7845742919696	1.09594734835823e-07	7.4860510208523e-06	8.48106218080978	-1.2555	-1.3685	-1.2395	0.8045	0.969	0.5585
CAGL0F00715g	2.79	-0.00966666666666668	16.7199244391393	1.13060730132098e-07	7.62118579561499e-06	8.44840352041183	-1.5	-1.096	-1.618	1.125	1.5435	1.4875
CAGL0K10362g	-2.75233333333333	-0.271166666666667	-16.6358145236812	1.17754773171473e-07	7.83451562282409e-06	8.40571321544357	1.319	1.185	0.811	-1.4775	-1.913	-1.5515
CAGL0F07865g	2.916	0.0805	16.5600752482271	1.22168611212834e-07	8.02397173388908e-06	8.36707528951876	-1.5185	-1.4935	-1.1205	1.4055	1.8935	1.3165
