logFC	AveExpr	t	P.Value	adj.P.Val	B	log2.YPGlu37.Ref._YPGlu37.C.1	log2.YPGlu37.Ref._YPGlu37.C.2	log2.YPGlu37.Ref._YPGlu37.C.3	log2.WT.Glu.Fe.37.Ref._WT.Glu.Fe.37.Fe.1	log2.WT.Glu.Fe.37.Ref._WT.Glu.Fe.37.Fe.2	log2.WT.Glu.Fe.37.Ref._WT.Glu.Fe.37.Fe.3
CAGL0K07546g	5.70616666666667	2.49925	34.5009678603699	3.59733211546394e-13	1.84291324275218e-09	18.8331985861415	-0.127	-0.398	-0.5365	5.2585	5.2505	5.548
CAGL0E01727g	4.28433333333333	-2.3125	19.4843316266092	2.63906951233523e-10	6.65435270826173e-07	13.9128987986146	-4.4565	-4.085	-4.8225	-0.4985	-0.207	0.1945
CAGL0B02475g	5.1165	0.983083333333333	18.8298639019833	3.89675153714331e-10	6.65435270826173e-07	13.5741018586209	-1.883	-1.94	-0.9025	3.111	3.806	3.707
CAGL0A01243g	3.66483333333333	0.895583333333333	17.5826232796192	8.49454781308771e-10	1.05740884875403e-06	12.8840031213486	-1.067	-0.924	-0.8195	2.2165	2.937	3.0305
CAGL0I10147g	2.70916666666667	0.133083333333333	17.2833225256878	1.0320211289811e-09	1.05740884875403e-06	12.7091047114434	-1.2735	-1.3675	-1.0235	1.392	1.44	1.631
CAGL0L13354g	2.7555	0.108583333333333	16.9088179308222	1.32257254117469e-09	1.12925652140632e-06	12.4848711581224	-1.244	-1.181	-1.3825	1.642	1.218	1.599
CAGL0A03740g	2.75083333333333	0.812583333333333	15.7970037148383	2.84949290231315e-09	1.89871820134404e-06	11.7817123976302	-0.7775	-0.6085	-0.3025	2.04	2.1075	2.4165
CAGL0H07337g	-2.99733333333333	-0.718333333333333	-15.6482809839016	3.16945327623839e-09	1.89871820134404e-06	11.6831626395293	1.1145	0.8335	0.393	-2.192	-2.3765	-2.0825
CAGL0L03828g	-2.718	-0.121333333333333	-15.5773176815287	3.33563611401452e-09	1.89871820134404e-06	11.6357486510403	1.266	1.503	0.944	-1.316	-1.5815	-1.5435
CAGL0D01265g	-3.52033333333333	-0.655666666666667	-14.4367783894931	7.81868006541839e-09	4.00550979751384e-06	10.8373464422481	1.109	1.184	1.0205	-2.245	-3.0725	-1.93
CAGL0I03080g	2.15066666666667	0.740166666666667	14.265958829358	8.92904861890005e-09	4.15850146132954e-06	10.7115768209427	-0.3935	-0.269	-0.343	1.777	1.997	1.6725
CAGL0E01705g	2.132	0.6655	13.7056705831913	1.39450249590071e-08	5.95336357208279e-06	10.2869337689244	-0.5685	-0.447	-0.186	1.722	1.814	1.6585
CAGL0K05357g	2.14883333333333	0.00924999999999996	13.1663691682118	2.17551667171482e-08	8.57320916091926e-06	9.8597980168132	-1.0455	-1.3005	-0.8495	0.944	1.158	1.149
