C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	C13	C14	C15	C16	C17	C18	C19	C20	C21	C22	C23	C24	C25	C26	C27	C28	C29
CAGL0A01067g		Ortholog of S. cerevisiae : KEL3, C. albicans SC5314 : C1_13720W_A, C. dubliniensis CD36 : Cd36_12710, C. parapsilosis CDC317 : CPAR2_201590 and C. auris B8441 : B9J08_002506	-1.78e+00	1.87e-05	-1.23e+00	1.72e-04	8.67e-03	9.38e-01	-2.31e-01	2.80e-01	-2.13e+00	-1.69e+00	-1.46e-01	-5.13e-01	-1	0	0	0	KEL3	UNCLASSIFIED	_	Others	CAGL0A01067g	OFF	DOWN	DOWN	0	0
CAGL0A01089g		Has domain(s) with predicted alcohol O-acetyltransferase activity and role in alcohol metabolic process	2.11e+00	5.12e-04	2.92e+00	1.05e-05	-6.17e-01	1.07e-02	-4.01e-01	1.88e-01	2.41e+00	3.77e+00	-1.69e+00	-8.09e-01	1	1	0	0	PBI1	UNCLASSIFIED	_	Others	CAGL0A01089g	OFF	UP	UP	0	0
CAGL0A01650g		Putative protein; gene is upregulated in azole-resistant strain	2.46e+00	3.88e-06	2.31e+00	3.27e-06	2.46e-01	1.38e-01	5.26e-01	2.66e-02	2.81e+00	2.96e+00	4.42e-01	8.11e-01	1	1	0	0		UNCLASSIFIED	_	Others	CAGL0A01650g	OFF	UP	UP	0	0
CAGL0A02277g		Protein of unknown function	-2.00e-01	4.91e-01	3.61e+00	4.04e-07	2.05e+00	5.87e-06	-8.48e-01	8.06e-03	-2.91e-01	4.67e+00	4.90e+00	-1.59e+00	0	1	1	0		UNCLASSIFIED	_	Others	CAGL0A02277g	SWITCH	0	UP	UP	DOWN
CAGL0A02299g		Protein of unknown function	1.81e+00	6.85e-05	2.03e+00	1.29e-05	-2.55e-01	1.82e-01	1.09e+00	6.37e-04	2.05e+00	2.59e+00	-7.97e-01	1.80e+00	1	1	0	0		UNCLASSIFIED	_	Others	CAGL0A02299g	Type II	UP	UP	0	UP
CAGL0B00594g		Predicted GPI-linked protein	-1.34e+00	1.29e-04	-2.05e+00	1.26e-05	-6.44e-01	2.30e-03	-2.96e-01	2.89e-01	-1.63e+00	-2.76e+00	-1.76e+00	-6.26e-01	0	-1	0	0	YCL048W-A	UNCLASSIFIED	_	Others	CAGL0B00594g	Type II	DOWN	DOWN	DOWN	0
CAGL0B00946g		Ortholog(s) have cytosol localization	1.26e+00	3.99e-05	2.25e+00	7.00e-06	2.58e-02	8.57e-01	1.08e-01	6.12e-01	1.41e+00	2.89e+00	-1.04e-01	8.04e-02	0	1	0	0	RNQ1	UNCLASSIFIED	_	Others	CAGL0B00946g	OFF	0	UP	0	0
CAGL0B02585g		Ortholog(s) have role in ER-dependent peroxisome organization, endoplasmic reticulum inheritance, endoplasmic reticulum tubular network maintenance and endoplasmic reticulum tubular network organization, more	-4.78e-01	6.32e-03	-1.56e+00	1.21e-03	-1.03e-01	4.29e-01	4.63e-01	2.09e-01	-6.15e-01	-2.13e+00	-4.22e-01	7.01e-01	0	-1	0	0	RTN1	STRESS RESPONSE	_	Others	CAGL0B02585g	OFF	0	DOWN	0	0
CAGL0B02904g	BMT6	Beta mannosyltransferase	1.35e+00	5.11e-05	9.05e-01	2.70e-03	9.20e-01	4.35e-04	4.73e-01	7.91e-02	1.52e+00	1.12e+00	2.10e+00	7.19e-01	0	0	1	0		UNCLASSIFIED	_	Others	CAGL0B02904g	Type II	UP	0	UP	0
CAGL0B02970g	BMT5	Beta mannosyltransferase	1.49e-01	3.50e-01	-6.28e-01	8.47e-03	-6.04e-01	5.92e-04	1.51e+00	2.76e-04	1.17e-01	-8.98e-01	-1.66e+00	2.53e+00	0	0	0	1		UNCLASSIFIED	_	Others	CAGL0B02970g	SWITCH	0	0	DOWN	UP
CAGL0C00110g	EPA6	Sub-telomerically encoded adhesin with a role in cell adhesion; binds to ligands containing a terminal galactose residue; expressed during murine urinary tract infection, biofilm-upregulated; belongs to adhesin cluster I	2.20e-01	4.38e-01	-1.05e+00	3.01e-04	-3.57e-01	1.55e-01	1.38e+00	1.06e-04	2.00e-01	-1.45e+00	-1.05e+00	2.30e+00	0	0	0	1		UNCLASSIFIED	_	Others	CAGL0C00110g	OFF	0	0	0	UP
CAGL0C00275g	HSP31	Putative cysteine protease; protein differentially expressed in azole resistant strain; gene is upregulated in azole-resistant strain	3.89e+00	5.10e-06	1.41e+00	1.37e-04	1.64e+00	1.46e-05	8.93e-01	1.23e-03	4.49e+00	1.77e+00	3.89e+00	1.45e+00	1	0	1	0		STRESS RESPONSE	_	Others	CAGL0C00275g	Type II	UP	UP	UP	0
CAGL0C00968g		Adhesin-like protein with a predicted role in cell adhesion; belongs to adhesin cluster VII; predicted GPI-anchor	3.85e-01	1.58e-02	-2.07e-01	4.42e-01	-6.73e-02	6.25e-01	1.34e+00	2.55e-03	3.93e-01	-3.45e-01	-3.34e-01	2.23e+00	0	0	0	1		UNCLASSIFIED	_	Others	CAGL0C00968g	OFF	0	0	0	UP
CAGL0C01133g		Adhesin-like protein; belongs to adhesin cluster VII; predicted GPI anchor	2.26e-01	9.29e-02	-3.20e-01	2.42e-01	-2.43e-02	8.47e-01	1.24e+00	3.70e-03	2.07e-01	-4.94e-01	-2.28e-01	2.06e+00	0	0	0	1		UNCLASSIFIED	_	Others	CAGL0C01133g	OFF	0	0	0	UP
CAGL0C01749g		Ortholog(s) have 5'-deoxynucleotidase activity, GMP 5'-nucleotidase activity and role in deoxyribonucleoside monophosphate catabolic process	1.90e-01	4.04e-01	-9.51e-01	1.22e-03	-8.26e-01	1.04e-04	-1.24e+00	5.29e-04	1.66e-01	-1.32e+00	-2.21e+00	-2.28e+00	0	0	-1	-1	YBR242W	UNCLASSIFIED	_	Others	CAGL0C01749g	OFF	0	0	DOWN	DOWN
CAGL0C02365g		Protein of unknown function	2.06e+00	2.23e-05	1.05e+00	3.16e-03	5.03e-02	7.82e-01	1.19e-01	6.50e-01	2.35e+00	1.31e+00	-4.32e-02	1.00e-01	1	0	0	0		UNCLASSIFIED	_	Others	CAGL0C02365g	OFF	UP	0	0	0
CAGL0C03487g		Ortholog(s) have role in phospholipid translocation and trans-Golgi network localization	-2.62e-02	8.99e-01	-1.89e-01	3.37e-01	-8.54e-01	3.18e-04	-6.80e-01	6.50e-03	-8.73e-02	-3.22e-01	-2.28e+00	-1.30e+00	0	0	-1	0	YNR048W	MEMBRANE / CELL WALL	_	Others	CAGL0C03487g	OFF	0	0	DOWN	0
CAGL0C03608g	TUP1	Protein of unknown function	-3.95e-01	2.66e-02	-6.60e-01	6.59e-02	1.80e-02	9.11e-01	1.35e+00	1.73e-03	-5.18e-01	-9.41e-01	-1.23e-01	2.25e+00	0	0	0	1		UNCLASSIFIED	_	Others	CAGL0C03608g	OFF	0	0	0	UP
CAGL0C03872g	TIR3	Putative GPI-linked cell wall protein involved in sterol uptake	3.91e+00	5.10e-06	1.97e+00	1.03e-03	9.83e-03	9.89e-01	-1.21e+00	1.27e-02	4.51e+00	2.51e+00	-1.43e-01	-2.23e+00	1	1	0	-1	TIR3	STRESS RESPONSE	_	Others	CAGL0C03872g	OFF	UP	UP	0	0
CAGL0D00264g	NUD1	Putative nuclear phosphatase regulatory subunit; gene is downregulated in azole-resistant strain	1.27e+00	1.53e-05	6.36e-01	4.93e-03	5.31e-01	1.28e-03	-1.23e+00	2.59e-04	1.42e+00	7.62e-01	1.15e+00	-2.25e+00	0	0	0	-1		UNCLASSIFIED	_	Others	CAGL0D00264g	OFF	0	0	0	DOWN
CAGL0D01265g	MT-I	Copper-binding metallothionein, involved in sequestration of metal ions; inducible by copper and silver; gene used for molecular typing of C. glabrata strain isolates	1.33e+00	2.27e-03	-2.65e+00	3.94e-06	1.74e+00	2.06e-05	-3.52e+00	4.01e-06	1.50e+00	-3.56e+00	4.12e+00	-6.27e+00	0	-1	1	-1		STRESS RESPONSE	_	Others	CAGL0D01265g	SWITCH	UP	DOWN	UP	DOWN
CAGL0D01474g		Protein of unknown function	2.25e+00	1.64e-05	1.36e+00	5.47e-04	1.81e-01	5.57e-01	-2.48e-01	3.73e-01	2.57e+00	1.72e+00	2.81e-01	-5.42e-01	1	0	0	0		UNCLASSIFIED	_	Others	CAGL0D01474g	OFF	UP	UP	0	0
CAGL0D05434g	ROX1	Protein of unknown function	-1.67e-01	6.41e-01	3.36e-01	2.75e-01	-1.71e+00	1.33e-04	-9.08e-01	7.95e-03	-2.51e-01	3.69e-01	-4.40e+00	-1.70e+00	0	0	-1	0		UNCLASSIFIED	_	Others	CAGL0D05434g	OFF	0	0	DOWN	DOWN
CAGL0E00803g		Putative small cytosolic stress-induced chaperone; gene is upregulated in azole-resistant strain	2.48e+00	2.09e-05	7.76e-01	1.61e-03	2.48e-01	2.81e-01	-2.98e-01	1.43e-01	2.84e+00	9.47e-01	4.44e-01	-6.30e-01	1	0	0	0	HSP42	UNCLASSIFIED	_	Others	CAGL0E00803g	OFF	UP	0	0	0
CAGL0E01881g	YPS11	Putative aspartic protease; member of a YPS gene cluster that is required for virulence in mice; induced in response to low pH and high temperature	9.58e-01	1.06e-03	7.95e-01	1.56e-02	8.95e-01	4.98e-04	1.02e+00	4.11e-03	1.06e+00	9.71e-01	2.04e+00	1.68e+00	0	0	1	0		MEMBRANE / CELL WALL	_	Others	CAGL0E01881g	OFF	0	0	UP	UP
CAGL0E02255g		Ortholog(s) have role in fungal-type cell wall organization and extrinsic component of plasma membrane localization	-3.51e+00	2.11e-07	-3.50e+00	9.72e-07	-8.85e-01	7.99e-04	-1.67e+00	5.80e-05	-4.16e+00	-4.67e+00	-2.36e+00	-3.03e+00	-1	-1	-1	-1	ZEO1	MEMBRANE / CELL WALL	_	Others	CAGL0E02255g	Type II	DOWN	DOWN	DOWN	DOWN
CAGL0E03025g		Ortholog of S. cerevisiae : ECL1 and Saccharomyces cerevisiae S288C : YGR146C	1.17e+00	1.20e-04	2.08e+00	1.43e-05	-1.86e-01	1.08e-01	-3.61e-01	1.58e-01	1.31e+00	2.66e+00	-6.27e-01	-7.40e-01	0	1	0	0	ECL1	UNCLASSIFIED	_	Others	CAGL0E03025g	OFF	0	UP	0	0
CAGL0E04224g		Protein of unknown function	1.69e-01	2.25e-01	2.81e-01	1.99e-01	4.75e-01	1.07e-02	1.45e+00	1.03e-03	1.40e-01	2.96e-01	1.01e+00	2.43e+00	0	0	0	1		UNCLASSIFIED	_	Others	CAGL0E04224g	OFF	0	0	0	UP
CAGL0E04548g		Ortholog of S. cerevisiae : YOR020W-A and Saccharomyces cerevisiae S288C : YOR020W-A	2.83e+00	2.23e-05	2.98e+00	4.12e-06	6.65e-01	8.96e-03	9.97e-01	3.72e-03	3.25e+00	3.84e+00	1.47e+00	1.63e+00	1	1	0	0	YOR020W-A	UNCLASSIFIED	_	Others	CAGL0E04548g	Type II	UP	UP	0	UP
CAGL0E04554g		Putative protein; gene is upregulated in azole-resistant strain	1.07e+00	1.12e-02	1.86e+00	4.59e-04	7.38e-01	1.61e-03	2.38e+00	4.38e-05	1.19e+00	2.37e+00	1.66e+00	4.06e+00	0	1	0	1		UNCLASSIFIED	_	Others	CAGL0E04554g	Type II	0	UP	UP	UP
