C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	C13	C14	C15	C16	C17	C18	C19	C20	C21	C22	C23	C24	C25	C26	C27	C28	C29
CAGL0A02816g		Putative 2-methylbutyraldehyde reductase; gene is upregulated in azole-resistant strain	1.51266666666667	3.528045052699e-05	1.33641666666667	0.000258006419837358	-0.569833333333334	0.00550522201900391	-1.30266666666667	0.000385254283198501	1.71039590814241	1.68333374135895	-1.57556382895885	-2.38743740456312	0	0	0	-1	YPR1	REDOX SIGNALING	NAD(P)/NAD(P)H DEPENDANT ENZYME	F3	CAGL0A02816g	Type I	UP	UP	DOWN	DOWN
CAGL0A03366g		Ortholog(s) have IMP cyclohydrolase activity, phosphoribosylaminoimidazolecarboxamide formyltransferase activity and role in 'de novo' IMP biosynthetic process, IMP biosynthetic process, purine nucleotide biosynthetic process	0.107333333333333	0.472481456006449	-0.204	0.364422535694068	1.35583333333333	3.47438980651115e-05	-0.299833333333333	0.194137678653763	0.0686124194874608	-0.341451248455174	3.1826254351337	-0.633090171219151	0	0	1	0	ADE16	REDOX SIGNALING	METABOLISM	F3	CAGL0A03366g	OFF	0	0	UP	0
CAGL0A03542g	COX12	Cytochrome c oxidase	-1.9575	0.000138188773758526	-1.73633333333333	0.000148004793730492	0.293666666666667	0.0471873570004444	1.0125	0.00274639467395853	-2.34363326848054	-2.35561118314287	0.558085000646782	1.66269346104783	-1	-1	0	0	COX12	REDOX SIGNALING	RESPIRATORY CHAIN	F3	CAGL0A03542g	Type I	DOWN	DOWN	0	UP
CAGL0A03740g		Ortholog(s) have role in fatty acid beta-oxidation, long-chain fatty acid catabolic process and peroxisome localization	1.5895	0.00011763562348593	0.315833333333334	0.165529300224029	2.89916666666667	1.10779130649143e-06	2.75083333333333	1.89871820134404e-06	1.80015660409473	0.341838379159676	6.99609545291948	4.70371750023308	0	0	1	1		REDOX SIGNALING	PEROXISOME	F3	CAGL0A03740g	Type II	UP	0	UP	UP
CAGL0A03905g	HMX1	Ortholog(s) have heme oxygenase (decyclizing) activity and role in cellular iron ion homeostasis, heme catabolic process, response to carbon monoxide, response to oxidative stress	2.56133333333333	1.08328909074184e-06	1.211	0.000277309831001089	-1.16733333333333	0.000222070289078978	-1.09183333333333	0.0014871570395912	2.93550284725733	1.51848108192318	-3.05194503994827	-2.01860754746156	1	0	-1	-1	HMX1	REDOX SIGNALING	OXYGEN DEPENDENT ENZYME	F3	CAGL0A03905g	Type I	UP	UP	DOWN	DOWN
CAGL0B00990g	HBN1	Ortholog(s) have oxidoreductase activity, acting on NAD(P)H, nitrogenous group as acceptor activity and role in cellular response to oxidative stress, negative regulation of fatty acid metabolic process	3.69033333333333	1.15435124526941e-05	2.86075	6.64409201516412e-06	0.438666666666667	0.137808293478599	1.04283333333333	0.0402555567531756	4.25445936435276	3.68697815757101	0.91636998071953	1.71575831005375	1	1	0	0	FRM2	REDOX SIGNALING	FLAVO HEMO PROTEIN	F3	CAGL0B00990g	OFF	UP	UP	0	0
CAGL0C01325g		Ortholog(s) have cytochrome-c oxidase activity, nitrite reductase (NO-forming) activity, role in mitochondrial electron transport, cytochrome c to oxygen and mitochondrial respiratory chain complex IV localization	-1.80316666666667	7.32831134693851e-05	-1.80483333333333	1.64876847049604e-05	-0.140833333333333	0.281361058276722	0.709833333333333	0.0198319652642106	-2.16333304190387	-2.44565031009052	-0.515534474122931	1.13321123140637	-1	-1	0	0	COX5B	REDOX SIGNALING	RESPIRATORY CHAIN	F3	CAGL0C01325g	OFF	DOWN	DOWN	0	0
CAGL0C01727g		Ortholog(s) have UDP-N-acetylglucosamine-dolichyl-phosphate N-acetylglucosaminephosphotransferase activity	-0.397166666666667	0.00789513231999521	-0.185416666666667	0.402637646034746	-0.763333333333333	0.000797687272722494	-0.0575000000000001	0.865254070682705	-0.520770718576883	-0.317024575329475	-2.05368895753869	-0.209154509380671	0	0	-1	0	ALG7	REDOX SIGNALING	METABOLISM	F3	CAGL0C01727g	OFF	0	0	DOWN	0
CAGL0C02233g		Ortholog(s) have L-methionine-(S)-S-oxide reductase activity, peptide-methionine (S)-S-oxide reductase activity, role in L-methionine salvage from methionine sulphoxide, cellular response to oxidative stress and cytoplasm localization	-0.140833333333333	0.354577865194939	1.60941666666667	3.70807436240403e-05	0.139833333333333	0.356719857501406	-0.345166666666667	0.145353294867662	-0.221308787178482	2.04217580934007	0.17797346431673	-0.712395879623599	0	1	0	0	MXR1	REDOX SIGNALING	THIOL REDOX	F3	CAGL0C02233g	OFF	0	UP	0	0
CAGL0C03333g		Ortholog(s) have ferric-chelate reductase activity, role in cellular response to iron ion starvation, copper ion import, intracellular sequestering of iron ion, reductive iron assimilation and fungal-type vacuole membrane localization	1.47183333333333	6.3364432155575e-05	1.32058333333333	0.000114214545692723	-1.58716666666667	7.95171037509146e-06	-0.486666666666667	0.0783696860677641	1.66269228448012	1.66252177770925	-4.08932419489454	-0.959934653283069	0	0	-1	0	FRE6	REDOX SIGNALING	FLAVO HEMO PROTEIN	F3	CAGL0C03333g	Type I	UP	UP	DOWN	0
