# File name: C_glabrata_CBS138_S_cerevisiae_orthologs.txt
# Organism: Candida glabrata CBS138
# Genome version: s02-m07-r41
# Date created: Wed Aug 21 10:26:53 2019
# Created by: The Candida Genome Database (http://www.candidagenome.org/)
# Contact Email: candida-curator AT lists DOT stanford DOT edu
# Funding: NIDCR at US NIH, grant number 1-R01-DE015873-01
#
CAGL0J11286g		CAL0133448	YNL182C	IPI3	S000005126
CAGL0B00682g		CAL0127118	YCL044C	MGR1	S000000549
CAGL0C00583g		CAL0127506	YBR130C	SHE3	S000000334
CAGL0M10725g		CAL0136733	YNR027W	BUD17	S000005310
CAGL0K11638g		CAL0133895	YKL121W	DGR2	S000001604
CAGL0M09691g		CAL0136449	YMR153W	NUP53	S000004762
CAGL0H07865g		CAL0130283	YGL236C	MTO1	S000003205
CAGL0L11550g		CAL0135104	YHR102W	KIC1	S000001144
CAGL0M13145g	CSE4	CAL0137371	YKL049C	CSE4	S000001532
CAGL0E03069g		CAL0128576	YGR145W	ENP2	S000003377
CAGL0J07524g		CAL0132966	YNL236W	SIN4	S000005180
CAGL0A03586g		CAL0126551	YLR040C	AFB1	S000004030
CAGL0J09482g		CAL0133438	YPL024W	RMI1	S000005945
CAGL0H01419g		CAL0130530	YDR299W	BFR2	S000002707
CAGL0E06380g		CAL0128668	YKL151C	YKL151C	S000001634
CAGL0F03949g		CAL0129284	YMR218C	TRS130	S000004831
CAGL0M02563g		CAL0137133	YPL139C	UME1	S000006060
CAGL0L04422g		CAL0135192	YOR163W	DDP1	S000005689
CAGL0K02343g		CAL0133951	YPR022C	YPR022C	S000006226
CAGL0C05159g	HLP	CAL0127240	YOL060C	MAM3	S000005421
CAGL0D05544g		CAL0128535	YLL013C	PUF3	S000003936
CAGL0F05621g		CAL0129434	YDR191W	HST4	S000002599
CAGL0D03234g		CAL0128007	YLR019W	PSR2	S000004009
CAGL0C00561g		CAL0127504	YBR131W	CCZ1	S000000335
CAGL0G07777g		CAL0129317	YGR100W	MDR1	S000003332
CAGL0D04686g		CAL0128207	YPR122W	AXL1	S000006326
CAGL0I08503g		CAL0132658	YPR167C	MET16	S000006371
CAGL0M09537g		CAL0136949	YBL095W	YBL095W	S000000191
CAGL0J10670g		CAL0133318	YHR077C	NMD2	S000001119
CAGL0L04642g		CAL0135358	YOR175C	ALE1	S000005701
CAGL0B04169g		CAL0127894	YPR112C	MRD1	S000006316
CAGL0I07249g		CAL0130255	YOR134W	BAG7	S000005660
CAGL0H09680g		CAL0131744	YER008C	SEC3	S000000810
CAGL0M04235g		CAL0137275	YLR127C	APC2	S000004117
CAGL0K06523g		CAL0134109	YDR469W	SDC1	S000002877
CAGL0J02706g		CAL0133388	YER044C-A	MEI4	S000001954
CAGL0F07821g		CAL0129344	YGL141W	HUL5	S000003109
CAGL0E00627g	SRB8	CAL0129076	YCR081W	SRB8	S000000677
CAGL0E03828g		CAL0128860	YHL030W	ECM29	S000001022
CAGL0I00528g		CAL0132094	YLR298C	YHC1	S000004289
CAGL0H05115g		CAL0130480	YLR385C	SWC7	S000004377
CAGL0E05368g		CAL0128950	YOR334W	MRS2	S000005861
CAGL0M10956g		CAL0136431	YNR034W	SOL1	S000005317
CAGL0L02277g		CAL0135270	YKR002W	PAP1	S000001710
CAGL0F05995g	MSN2	CAL0131140	YMR037C	MSN2	S000004640
CAGL0C03369g		CAL0127296	YNR053C	NOG2	S000005336
CAGL0L13134g		CAL0135930	YLR072W	YLR072W	S000004062
CAGL0B00418g		CAL0127778	YCL057W	PRD1	S000000562
CAGL0L06006g	ATG1	CAL0135942	YGL180W	ATG1	S000003148
CAGL0A03080g		CAL0126711	YDR379C-A	SDH6	S000007605
CAGL0C00363g	KRE9	CAL0127358	YJL174W	KRE9	S000003710
CAGL0E06490g		CAL0129142	YKL145W	RPT1	S000001628
CAGL0M13959g		CAL0136315	YMR312W	ELP6	S000004929
CAGL0C02805g		CAL0127476	YOR262W	GPN2	S000005788
CAGL0M12595g		CAL0137209	YIL062C	ARC15	S000001324
CAGL0F07249g		CAL0130920	YGL112C	TAF6	S000003080
CAGL0K09702g		CAL0134271	YNL134C	YNL134C	S000005078
CAGL0M01606g		CAL0136711	YDR390C	UBA2	S000002798
CAGL0H05489g		CAL0131524	YPL078C	ATP4	S000005999
CAGL0I08701g		CAL0132170	YGR172C	YIP1	S000003404
CAGL0F02695g		CAL0131248	YDR405W	MRP20	S000002813
CAGL0I09306g		CAL0132480	YBR264C	YPT10	S000000468
CAGL0F01551g		CAL0129721	YLR068W	FYV7	S000004058
CAGL0L00935g	APQ12	CAL0135068	YIL040W	APQ12	S000001302
CAGL0H00462g		CAL0131980	YJR123W	RPS5	S000003884
CAGL0L08888g		CAL0135298	YPL006W	NCR1	S000005927
CAGL0K00275g		CAL0134153	YKL213C	DOA1	S000001696
CAGL0L00693g		CAL0135864	YIL049W	DFG10	S000001311
CAGL0M12232g		CAL0136689	YAL046C	AIM1	S000000044
CAGL0C02623g		CAL0127640	YLR395C	COX8	S000004387
CAGL0A00935g		CAL0126671	YLR323C	CWC24	S000004315
CAGL0K09966g	PRT1	CAL0134205	YOR361C	PRT1	S000005888
CAGL0K01155g		CAL0134867	YGR079W	YGR079W	S000003311
CAGL0F00759g		CAL0130952	YOR321W	PMT3	S000005848
CAGL0F08789g		CAL0131264	YGR012W	YGR012W	S000003244
CAGL0I01210g		CAL0132300	YHR109W	CTM1	S000001151
CAGL0H02343g		CAL0130442	YMR263W	SAP30	S000004876
CAGL0G08822g		CAL0130687	YIL129C	TAO3	S000001391
CAGL0K11880g		CAL0134125	YDR033W	MRH1	S000002440
CAGL0J08316g		CAL0133696	YNL277W	MET2	S000005221
CAGL0H02321g		CAL0131762	YMR264W	CUE1	S000004877
CAGL0J05236g	LAS21	CAL0132810	YJL062W	LAS21	S000003598
CAGL0K08932g		CAL0133967	YOR258W	HNT3	S000005784
CAGL0L11946g		CAL0136200	YER172C	BRR2	S000000974
CAGL0J08657g		CAL0133038	YOR090C	PTC5	S000005616
CAGL0I07095g		CAL0132462	YGL212W	VAM7	S000003180
CAGL0M11462g		CAL0136795	YLR099C	ICT1	S000004089
CAGL0K11506g		CAL0133801	YKL113C	RAD27	S000001596
CAGL0L11770g		CAL0135304	YER164W	CHD1	S000000966
CAGL0D02772g		CAL0128293	YLL036C	PRP19	S000003959
CAGL0L04048g		CAL0135350	YNL121C	TOM70	S000005065
CAGL0K07854g		CAL0134201	YPR082C	DIB1	S000006286
CAGL0B01793g		CAL0127674	YDR115W	YDR115W	S000002522
CAGL0C05247g	MET22	CAL0127514	YOL064C	MET22	S000005425
CAGL0H09306g		CAL0131900	YGR181W	TIM13	S000003413
CAGL0J09350g	CDC48	CAL0129459	YDL126C	CDC48	S000002284
CAGL0H08393g		CAL0131700	YBR068C	BAP2	S000000272
CAGL0G07062g		CAL0130091	YML020W	YML020W	S000004482
CAGL0M13651g		CAL0137301	YMR297W	PRC1	S000004912
CAGL0H07469g		CAL0131636	YBR157C	ICS2	S000000361
CAGL0L01001g		CAL0135370	YIL038C	NOT3	S000001300
CAGL0J11220g		CAL0132802	YNL178W	RPS3	S000005122
CAGL0C01243g		CAL0127422	YIL116W	HIS5	S000001378
CAGL0C05577g		CAL0127554	YDL239C	ADY3	S000002398
CAGL0B03619g		CAL0127730	YEL060C	PRB1	S000000786
CAGL0K06457g		CAL0134911	YDR465C	RMT2	S000002873
CAGL0J04510g		CAL0132940	YLR418C	CDC73	S000004410
