Row.names	Gene	C1	P.Val1	C2	P.Val2	C3	P.Val3	C4	P.Val4	C5	P.Val5	Feature name (mandatory); this is the primary systematic name, if available	Gene name (locus name)	Primary CGDID	Description	Name of S. cerevisiae ortholog(s) (multiples separated by |)	Zscore1	Zscore2	Zscore3	Zscore4	Zscore5	C1_2_0.05	C2_2_0.05	C3_2_0.05	C4_2_0.05	Metago2019	SubMetago	Fsimplify	C1_1.5_0.01	C2_1.5_0.01	C3_1.5_0.01	C4_1.5_0.01	sumLow_1.5_0.01	colLow	diffLow	sumHigh_1.5_0.01	colHigh	diffHigh	type
1	CAGL0A00737g	CAGL0A00737g	2.02683333333333	0.000396653479514769	0.979416666666667	0.000771536807455168	0.6115	0.0278632264428483	0.235	0.408160673206627	-0.192833333333334	0.469557209897847	CAGL0A00737g		CAL0126917	Has domain(s) with predicted transmembrane transporter activity, role in transmembrane transport and integral component of membrane, membrane localization		2.3110721489513	1.21407872938363	1.3434292040936	0.302542248890672	-0.428110447996965	1	0	0	0	TRANSPORT / TRAFFICKING	PLASMA MEMBRANE	F4	1	0	0	0	1	firebrick	UP	0	black	NO	OFF
2	CAGL0A00979g	CAGL0A00979g	-1.77816666666667	4.28076279881237e-05	-1.37533333333333	7.33321400603217e-05	-0.1835	0.197101252139747	-0.735833333333333	0.00620881185689511	-0.0753333333333333	0.754886146802096	CAGL0A00979g		CAL0126663	Ortholog(s) have cytosolic large ribosomal subunit, hyphal cell wall, yeast-form cell wall localization	RPL38	-2.13412674170247	-1.88109841192974	-0.620960859063878	-1.3958244844031	-0.100247301474861	-1	0	0	0	METABOLISM	RIBOSOMAL BIOGENESIS	F1	-1	-1	0	0	-2	chartreuse	DOWN	0	black	NO	OFF
3	CAGL0A01067g	CAGL0A01067g	-1.77516666666667	1.87239593339378e-05	-1.22866666666667	0.000171876597845219	0.00866666666666671	0.93810897499949	-0.231166666666667	0.280450152409131	0.0731666666666667	0.745905117450296	CAGL0A01067g		CAL0126831	Ortholog of S. cerevisiae : KEL3, C. albicans SC5314 : C1_13720W_A, C. dubliniensis CD36 : Cd36_12710, C. parapsilosis CDC317 : CPAR2_201590 and C. auris B8441 : B9J08_002506	KEL3	-2.1306219856783	-1.68831390654305	-0.146130305013444	-0.512965348194768	0.314115909236054	-1	0	0	0	UNCLASSIFIED	_	Others	-1	-1	0	0	-2	chartreuse	DOWN	0	black	NO	OFF
4	CAGL0A01089g	CAGL0A01089g	2.10966666666667	0.000511500318363406	2.92483333333333	1.0535096769206e-05	-0.617333333333334	0.0106549659046675	-0.400666666666667	0.187889624429689	0.0580000000000002	0.905291232673164	CAGL0A01089g		CAL0126673	Has domain(s) with predicted alcohol O-acetyltransferase activity and role in alcohol metabolic process	PBI1	2.40784235695195	3.7712118420269	-1.69293304656889	-0.809487059398161	0.271795985358733	1	1	0	0	UNCLASSIFIED	_	Others	1	1	0	0	2	red	UP	0	black	NO	OFF
5	CAGL0A01199g	CAGL0A01199g	0.412833333333333	0.0823334332454741	1.82416666666667	0.000257407961784227	-1.34633333333333	0.000125897536077547	-0.0854999999999999	0.80674744933783	1.58133333333333	0.00337766692313169	CAGL0A01199g	DIP5	CAL0126839	Putative dicarboxylic amino acid permease	DIP5	0.425513407948624	2.32445175842046	-3.49424167052084	-0.258137446924594	4.52239053743253	0	1	-1	0	TRANSPORT / TRAFFICKING	PLASMA MEMBRANE	F4	0	1	-1	0	1	firebrick	UP	-1	darkgreen	DOWN	Type I
6	CAGL0A01221g	CAGL0A01221g	-1.45116666666667	5.41005235772911e-05	-3.32058333333333	1.01195024670925e-06	-0.502416666666667	0.0214372126395228	0.229333333333334	0.568147160679901	0.0978333333333334	0.779823624984372	CAGL0A01221g		CAL0126935	Has domain(s) with predicted channel activity, role in transmembrane transport and membrane localization		-1.7521083350681	-4.43801245127142	-1.40898190431583	0.292629035340117	0.382943917300268	0	-1	0	0	TRANSPORT / TRAFFICKING	PLASMA MEMBRANE	F4	-1	-1	0	0	-2	chartreuse	DOWN	0	black	NO	OFF
7	CAGL0A01243g	CAGL0A01243g	1.04283333333333	4.10666426151817e-05	0.947583333333333	0.000621759391535261	0.731	0.000436782656056056	3.66483333333333	1.05740884875403e-06	-0.186	0.352041767028288	CAGL0A01243g	GIT1	CAL0126807	Has domain(s) with predicted transmembrane transporter activity, role in transmembrane transport and integral component of membrane, integral component of plasma membrane localization		1.16151217302402	1.17223572878266	1.63870544629148	6.30266053291687	-0.409043229546743	0	0	0	1	TRANSPORT / TRAFFICKING	PLASMA MEMBRANE	F4	0	0	1	1	0	black	NO	2	red	UP	OFF
8	CAGL0A01650g	CAGL0A01650g	2.45616666666667	3.88152691472094e-06	2.30791666666667	3.26793582533754e-06	0.2465	0.138461815194851	0.525666666666667	0.0265903507688888	0.0721666666666667	0.795046722680194	CAGL0A01650g		CAL0126725	Putative protein; gene is upregulated in azole-resistant strain		2.81264167774342	2.96031201624416	0.441539426669095	0.811031791013306	0.311325584584802	1	1	0	0	UNCLASSIFIED	_	Others	1	1	0	0	2	red	UP	0	black	NO	OFF
9	CAGL0A01716g	CAGL0A01716g	1.80283333333333	0.000547442260308385	0.168916666666667	0.454803419945737	-0.071333333333333	0.731923346619048	-0.340333333333333	0.126831324553086	-0.777	0.0236070721800349	CAGL0A01716g		CAL0126679	Ortholog(s) have nicotinamidase activity and role in chromatin silencing at rDNA, chromatin silencing at telomere, negative regulation of DNA amplification, replicative cell aging	PNC1	2.04938369914672	0.148725263820628	-0.343804776777718	-0.703940491595183	-2.05812509843665	1	0	0	0	REGULATION	CHROMATIN CONFORMATION	F2	1	0	0	0	1	firebrick	UP	0	black	NO	OFF
10	CAGL0A01782g	CAGL0A01782g	1.84566666666667	0.000880299219975839	1.29625	0.00745832535621148	0.5675	0.00405650289148159	0.245666666666667	0.563935953023621	-0.3975	0.432050411279377	CAGL0A01782g	HXT4	CAL0126625	Ortholog(s) have glucose transmembrane transporter activity, pentose transmembrane transporter activity and plasma membrane localization	HXT4	2.09942382682512	1.63053707567919	1.23470824462324	0.321202415574072	-0.99919689328653	1	0	0	0	TRANSPORT / TRAFFICKING	PLASMA MEMBRANE	F4	1	1	0	0	2	red	UP	0	black	NO	OFF
