C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	C13	C14	C15	C16	C17	C18	C19	C20	C21	C22	C23	C24	C25	C26	C27	C28	C29
CAGL0A00737g		Has domain(s) with predicted transmembrane transporter activity, role in transmembrane transport and integral component of membrane, membrane localization	2.027	3.967e-04	0.979	7.715e-04	0.612	2.786e-02	0.235	4.082e-01	2.311	1.214	1.343	0.303	1	0	0	0		TRANSPORT / TRAFFICKING	PLASMA MEMBRANE	F4	CAGL0A00737g	OFF	UP	0	0	0
CAGL0A00979g		Ortholog(s) have cytosolic large ribosomal subunit, hyphal cell wall, yeast-form cell wall localization	-1.778	4.281e-05	-1.375	7.333e-05	-0.184	1.971e-01	-0.736	6.209e-03	-2.134	-1.881	-0.621	-1.396	-1	0	0	0	RPL38	METABOLISM	RIBOSOMAL BIOGENESIS	F1	CAGL0A00979g	OFF	DOWN	DOWN	0	0
CAGL0A01067g		Ortholog of S. cerevisiae : KEL3, C. albicans SC5314 : C1_13720W_A, C. dubliniensis CD36 : Cd36_12710, C. parapsilosis CDC317 : CPAR2_201590 and C. auris B8441 : B9J08_002506	-1.775	1.872e-05	-1.229	1.719e-04	0.009	9.381e-01	-0.231	2.805e-01	-2.131	-1.688	-0.146	-0.513	-1	0	0	0	KEL3	UNCLASSIFIED	_	Others	CAGL0A01067g	OFF	DOWN	DOWN	0	0
CAGL0A01089g		Has domain(s) with predicted alcohol O-acetyltransferase activity and role in alcohol metabolic process	2.11	5.115e-04	2.925	1.054e-05	-0.617	1.065e-02	-0.401	1.879e-01	2.408	3.771	-1.693	-0.809	1	1	0	0	PBI1	UNCLASSIFIED	_	Others	CAGL0A01089g	OFF	UP	UP	0	0
CAGL0A01199g	DIP5	Putative dicarboxylic amino acid permease	0.413	8.233e-02	1.824	2.574e-04	-1.346	1.259e-04	-0.085	8.067e-01	0.426	2.324	-3.494	-0.258	0	1	-1	0	DIP5	TRANSPORT / TRAFFICKING	PLASMA MEMBRANE	F4	CAGL0A01199g	Type I	0	UP	DOWN	0
CAGL0A01221g		Has domain(s) with predicted channel activity, role in transmembrane transport and membrane localization	-1.451	5.410e-05	-3.321	1.012e-06	-0.502	2.144e-02	0.229	5.681e-01	-1.752	-4.438	-1.409	0.293	0	-1	0	0		TRANSPORT / TRAFFICKING	PLASMA MEMBRANE	F4	CAGL0A01221g	OFF	DOWN	DOWN	0	0
CAGL0A01243g	GIT1	Has domain(s) with predicted transmembrane transporter activity, role in transmembrane transport and integral component of membrane, integral component of plasma membrane localization	1.043	4.107e-05	0.948	6.218e-04	0.731	4.368e-04	3.665	1.057e-06	1.162	1.172	1.639	6.303	0	0	0	1		TRANSPORT / TRAFFICKING	PLASMA MEMBRANE	F4	CAGL0A01243g	OFF	0	0	UP	UP
CAGL0A01650g		Putative protein; gene is upregulated in azole-resistant strain	2.456	3.882e-06	2.308	3.268e-06	0.246	1.385e-01	0.526	2.659e-02	2.813	2.96	0.442	0.811	1	1	0	0		UNCLASSIFIED	_	Others	CAGL0A01650g	OFF	UP	UP	0	0
CAGL0A01716g		Ortholog(s) have nicotinamidase activity and role in chromatin silencing at rDNA, chromatin silencing at telomere, negative regulation of DNA amplification, replicative cell aging	1.803	5.474e-04	0.169	4.548e-01	-0.071	7.319e-01	-0.34	1.268e-01	2.049	0.149	-0.344	-0.704	1	0	0	0	PNC1	REGULATION	CHROMATIN CONFORMATION	F2	CAGL0A01716g	OFF	UP	0	0	0
CAGL0A01782g	HXT4	Ortholog(s) have glucose transmembrane transporter activity, pentose transmembrane transporter activity and plasma membrane localization	1.846	8.803e-04	1.296	7.458e-03	0.568	4.057e-03	0.246	5.639e-01	2.099	1.631	1.235	0.321	1	0	0	0	HXT4	TRANSPORT / TRAFFICKING	PLASMA MEMBRANE	F4	CAGL0A01782g	OFF	UP	UP	0	0
