C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	C13	C14	C15	C16	C17	C18	C19	C20	C21	C22	C23	C24	C25	C26	C27	C28	C29	C30	C31	C32	C33	C34	C35	C36	C37	C38	C39	C40	C41	C42
CAGL0A00737g		Has domain(s) with predicted transmembrane transporter activity, role in transmembrane transport and integral component of membrane, membrane localization	2.027	3.967e-04	0.979	7.715e-04	0.612	2.786e-02	0.235	4.082e-01	2.311	1.214	1.343	0.303	1	0	0	0	TRANSPORT / TRAFFICKING	PLASMA MEMBRANE	F4	CAGL0A00737g	OFF	UP	0	0	0	CAGL0A00737g	YDR343C	S000002751	YDR343C	HXT6	High-affinity glucose transporter; member of the major facilitator superfamily, nearly identical to Hxt7p, expressed at high basal levels relative to other HXTs, repression of expression by high glucose requires SNF3; HXT6 has a paralog, HXT1, that arose from the whole genome duplication	-0.861	5.460e-03	-0.174	4.061e-01	0.065	9.999e-01	-0.169	7.745e-01
CAGL0A00979g		Ortholog(s) have cytosolic large ribosomal subunit, hyphal cell wall, yeast-form cell wall localization	-1.778	4.281e-05	-1.375	7.333e-05	-0.184	1.971e-01	-0.736	6.209e-03	-2.134	-1.881	-0.621	-1.396	-1	0	0	0	METABOLISM	RIBOSOMAL BIOGENESIS	F1	CAGL0A00979g	OFF	DOWN	DOWN	0	0	CAGL0A00979g	YLR325C	S000004317	YLR325C	RPL38	Ribosomal 60S subunit protein L38; homologous to mammalian ribosomal protein L38, no bacterial homolog	-1.301	4.690e-04	0.201	3.300e-01	-0.022	9.999e-01	-0.289	7.062e-01
CAGL0A01067g		Ortholog of S. cerevisiae : KEL3, C. albicans SC5314 : C1_13720W_A, C. dubliniensis CD36 : Cd36_12710, C. parapsilosis CDC317 : CPAR2_201590 and C. auris B8441 : B9J08_002506	-1.775	1.872e-05	-1.229	1.719e-04	0.009	9.381e-01	-0.231	2.805e-01	-2.131	-1.688	-0.146	-0.513	-1	0	0	0	UNCLASSIFIED	_	Others	CAGL0A01067g	OFF	DOWN	DOWN	0	0	CAGL0A01067g	YPL263C	S000006184	YPL263C	KEL3	Cytoplasmic protein of unknown function	-1.031	1.660e-04	0.533	2.977e-02	-0.009	9.999e-01	-0.157	6.526e-01
CAGL0A01089g		Has domain(s) with predicted alcohol O-acetyltransferase activity and role in alcohol metabolic process	2.11	5.115e-04	2.925	1.054e-05	-0.617	1.065e-02	-0.401	1.879e-01	2.408	3.771	-1.693	-0.809	1	1	0	0	UNCLASSIFIED	_	Others	CAGL0A01089g	OFF	UP	UP	0	0	CAGL0A01089g	YPL272C	S000006193	YPL272C	PBI1	Putative protein of unknown function; gene expression induced in response to ketoconazole; YPL272C is not an essential gene	2.614	2.740e-04	-0.304	6.118e-01	-0.321	9.999e-01	-1.279	2.087e-01
CAGL0A01199g	DIP5	Putative dicarboxylic amino acid permease	0.413	8.233e-02	1.824	2.574e-04	-1.346	1.259e-04	-0.085	8.067e-01	0.426	2.324	-3.494	-0.258	0	1	-1	0	TRANSPORT / TRAFFICKING	PLASMA MEMBRANE	F4	CAGL0A01199g	Type I	0	UP	DOWN	0	CAGL0A01199g	YPL265W	S000006186	YPL265W	DIP5	Dicarboxylic amino acid permease; mediates high-affinity and high-capacity transport of L-glutamate and L-aspartate; also a transporter for Gln, Asn, Ser, Ala, and Gly; relocalizes from plasma membrane to vacuole upon DNA replication stress	0.351	4.420e-02	-0.049	8.476e-01	0.047	9.999e-01	-0.674	1.710e-01
CAGL0A01221g		Has domain(s) with predicted channel activity, role in transmembrane transport and membrane localization	-1.451	5.410e-05	-3.321	1.012e-06	-0.502	2.144e-02	0.229	5.681e-01	-1.752	-4.438	-1.409	0.293	0	-1	0	0	TRANSPORT / TRAFFICKING	PLASMA MEMBRANE	F4	CAGL0A01221g	OFF	DOWN	DOWN	0	0	CAGL0A01221g	YPR192W	S000006396	YPR192W	AQY1	Spore-specific water channel; mediates the transport of water across cell membranes, developmentally controlled; may play a role in spore maturation, probably by allowing water outflow, may be involved in freeze tolerance	-1.847	1.600e-04	0.23	3.671e-01	-0.065	9.999e-01	0.397	4.163e-01
CAGL0A01243g	GIT1	Has domain(s) with predicted transmembrane transporter activity, role in transmembrane transport and integral component of membrane, integral component of plasma membrane localization	1.043	4.107e-05	0.948	6.218e-04	0.731	4.368e-04	3.665	1.057e-06	1.162	1.172	1.639	6.303	0	0	0	1	TRANSPORT / TRAFFICKING	PLASMA MEMBRANE	F4	CAGL0A01243g	OFF	0	0	UP	UP	CAGL0A01243g	YCR098C	S000000695	YCR098C	GIT1	Plasma membrane permease; mediates uptake of glycerophosphoinositol and glycerophosphocholine as sources of the nutrients inositol and phosphate; expression and transport rate are regulated by phosphate and inositol availability	0.522	2.980e-02	0.279	1.564e-01	-0.095	9.999e-01	0.456	1.588e-01
CAGL0A01650g		Putative protein; gene is upregulated in azole-resistant strain	2.456	3.882e-06	2.308	3.268e-06	0.246	1.385e-01	0.526	2.659e-02	2.813	2.96	0.442	0.811	1	1	0	0	UNCLASSIFIED	_	Others	CAGL0A01650g	OFF	UP	UP	0	0	CAGL0A01650g	NO_ORTHO	CAL0126725	CAGL0A01650g		Putative protein; gene is upregulated in azole-resistant strain	0.547	5.540e-02	-0.416	2.503e-01	0.137	9.999e-01	-0.309	6.640e-01
CAGL0A01716g		Ortholog(s) have nicotinamidase activity and role in chromatin silencing at rDNA, chromatin silencing at telomere, negative regulation of DNA amplification, replicative cell aging	1.803	5.474e-04	0.169	4.548e-01	-0.071	7.319e-01	-0.34	1.268e-01	2.049	0.149	-0.344	-0.704	1	0	0	0	REGULATION	CHROMATIN CONFORMATION	F2	CAGL0A01716g	OFF	UP	0	0	0	CAGL0A01716g	YGL037C	S000003005	YGL037C	PNC1	Nicotinamidase that converts nicotinamide to nicotinic acid; part of the NAD(+) salvage pathway; required for life span extension by calorie restriction; lacks a peroxisomal targeting signal but is imported into peroxisomes via binding to Gpd1p; PNC1 expression responds to all known stimuli that extend replicative life span; protein increases in abundance and relative distribution to cytoplasmic foci decreases upon DNA replication stress	1.467	2.370e-05	-0.277	1.141e-01	0.156	9.999e-01	-0.418	2.963e-01
CAGL0A01782g	HXT4	Ortholog(s) have glucose transmembrane transporter activity, pentose transmembrane transporter activity and plasma membrane localization	1.846	8.803e-04	1.296	7.458e-03	0.568	4.057e-03	0.246	5.639e-01	2.099	1.631	1.235	0.321	1	0	0	0	TRANSPORT / TRAFFICKING	PLASMA MEMBRANE	F4	CAGL0A01782g	OFF	UP	UP	0	0	CAGL0A01782g	YHR092C	S000001134	YHR092C	HXT4	High-affinity glucose transporter; member of the major facilitator superfamily, expression is induced by low levels of glucose and repressed by high levels of glucose; HXT4 has a paralog, HXT7, that arose from the whole genome duplication	-0.984	1.060e-02	0.368	2.323e-01	0.423	9.999e-01	0.325	6.009e-01
